title	geo_accession	sex	age
Neu54yo_ZT12	GSM7885085	male	54
Neu54yo_ZT12_replicate1	GSM7885086	male	54
Neu54yo_ZT12_replicate2	GSM7885087	male	54
Neu54yo_ZT15	GSM7885088	male	54
Neu54yo_ZT15_replicate1	GSM7885089	male	54
Neu54yo_ZT15_replicate2	GSM7885090	male	54
Neu54yo_ZT18	GSM7885091	male	54
Neu54yo_ZT18_replicate1	GSM7885092	male	54
Neu54yo_ZT18_replicate2	GSM7885093	male	54
Neu54yo_ZT21	GSM7885094	male	54
Neu54yo_ZT21_replicate1	GSM7885095	male	54
Neu54yo_ZT24	GSM7885097	male	54
Neu54yo_ZT24_replicate1	GSM7885098	male	54
Neu54yo_ZT24_replicate2	GSM7885099	male	54
Neu54yo_ZT27	GSM7885100	male	54
Neu54yo_ZT27_replicate1	GSM7885101	male	54
Neu54yo_ZT27_replicate2	GSM7885102	male	54
Neu54yo_ZT30	GSM7885103	male	54
Neu54yo_ZT30_replicate1	GSM7885104	male	54
Neu54yo_ZT30_replicate2	GSM7885105	male	54
Neu54yo_ZT9	GSM7885082	male	54
Neu54yo_ZT9_replicate1	GSM7885083	male	54
Neu54yo_ZT9_replicate2	GSM7885084	male	54
