title	geo_accession	sex	age
WBCminusNeu_ZT13	GSM7885106	male	52
WBCminusNeu_ZT13_replicate	GSM7885107	male	52
WBCminusNeu_ZT16	GSM7885108	male	52
WBCminusNeu_ZT16_replicate	GSM7885109	male	52
WBCminusNeu_ZT19	GSM7885110	male	52
WBCminusNeu_ZT19_replicate	GSM7885111	male	52
WBCminusNeu_ZT22	GSM7885112	male	52
WBCminusNeu_ZT22_replicate	GSM7885113	male	52
WBCminusNeu_ZT25	GSM7885114	male	52
WBCminusNeu_ZT25_replicate	GSM7885115	male	52
WBCminusNeu_ZT28	GSM7885116	male	52
WBCminusNeu_ZT28_replicate	GSM7885117	male	52
WBCminusNeu_ZT31	GSM7885118	male	52
WBCminusNeu_ZT31_replicate	GSM7885119	male	52
WBCminusNeu_ZT34	GSM7885120	male	52
WBCminusNeu_ZT34_replicate	GSM7885121	male	52
WBCminusNeu_ZT37	GSM7885122	male	52
WBCminusNeu_ZT37_replicate	GSM7885123	male	52
WBCminusNeu_ZT40	GSM7885124	male	52
WBCminusNeu_ZT40_replicate	GSM7885125	male	52
WBCminusNeu_ZT43	GSM7885126	male	52
WBCminusNeu_ZT43_replicate	GSM7885127	male	52
WBCminusNeu_ZT46	GSM7885128	male	52
WBCminusNeu_ZT46_replicate	GSM7885129	male	52
WBCminusNeu_ZT49	GSM7885130	male	52
WBCminusNeu_ZT49_replicate	GSM7885131	male	52
WBCminusNeu_ZT55	GSM7885132	male	52
WBCminusNeu_ZT55_replicate	GSM7885133	male	52
WBCminusNeu_ZT58	GSM7885134	male	52
WBCminusNeu_ZT58_replicate	GSM7885135	male	52
WBCminusNeu_ZT61	GSM7885136	male	52
WBCminusNeu_ZT61_replicate	GSM7885137	male	52
WBCminusNeu_ZT64	GSM7885138	male	52
WBCminusNeu_ZT64_replicate	GSM7885139	male	52
WBCminusNeu_ZT67	GSM7885140	male	52
WBCminusNeu_ZT67_replicate	GSM7885141	male	52
WBCminusNeu_ZT70	GSM7885142	male	52
WBCminusNeu_ZT70_replicate	GSM7885143	male	52
WBCminusNeu_ZT73	GSM7885144	male	52
WBCminusNeu_ZT73_replicate	GSM7885145	male	52
WBCminusNeu_ZT76	GSM7885146	male	52
WBCminusNeu_ZT76_replicate	GSM7885147	male	52
WBCminusNeu_ZT79	GSM7885148	male	52
WBCminusNeu_ZT79_replicate	GSM7885149	male	52
WBCminusNeu_ZT85	GSM7885152	male	52
WBCminusNeu_ZT85_replicate	GSM7885153	male	52
